NAME,z,,,
SDSS J021805.57-011007.7,3.656599998,,,
SDSS J012650.70+000933.3,3.657099962,,,
2MASS J01270071-0045593,3.659199953,,,
SDSS J013309.39+011103.1,3.660399914,,,
SDSS J003618.83-004629.8,3.686300039,,,
SDSS J003924.54+002501.4,3.686700106,,,
SDSS J002758.73-001923.6,3.688499928,,,
SDSS J003011.76+004749.9,3.695899963,,,
SDSS J001200.18+000849.9,3.709599972,,,
[HB89] 0010+008,3.712500095,,,
SDSS J001713.39-002448.5,3.727900028,,,
SDSS J234850.78-003429.4,3.733400106,,,
SDSS J235510.47-004641.4,3.733700037,,,
SDSS J234504.32-004235.3,3.746000051,,,
[HB89] 2343+008 NED01,3.746999979,,,
SDSS J224539.93-002419.7,3.75819993,,,
SDSS J230441.51+003307.2,3.773299932,,,
SDSS J223003.60+002311.9,3.778399944,,,
SDSS J025151.19-005300.0,3.783600092,,,
SDSS J024434.86+000124.9,3.787899971,,,
SDSS J024644.33+003001.9,3.789700031,,,
SDSS J231311.99-001657.9,3.800899982,,,
SDSS J020750.06+000407.6,3.807800055,,,
SDSS J020854.62-011336.2,3.81520009,,,
SDSS J021216.41+010719.3,3.815999985,,,
SDSS J032909.26-005217.9,3.816800117,,,
SDSS J033105.47-002158.6,3.825299978,,,
SDSS J033443.51-005846.9,3.826999903,,,
SDSS J224922.94-010745.8,3.833699942,,,
SDSS J225053.27-002335.8,3.84739995,,,
SDSS J225443.44+010949.4,3.849499941,,,
SDSS J225828.17+002319.8,3.871299982,,,
SDSS J020008.99-011518.7,3.87409997,,,
SDSS J004420.11+001044.1,3.875799894,,,
SDSS J004905.94-003134.3,3.877899885,,,
SDSS J004939.10-000659.4,3.927700043,,,
SDSS J024325.96-003145.2,3.930700064,,,
SDSS J023309.61-003100.2,3.93569994,,,
SDSS J005251.37+004824.9,3.953000069,,,
SDSS J005401.48+002847.6,3.955600023,,,
SDSS J005516.98+010844.6,3.960000038,,,
SDSS J223527.54-010420.1,3.97300005,,,
SDSS J223841.76-000105.3,3.974600077,,,
SDSS J011230.55+001441.4,3.975500107,,,
SDSS J011715.95+002626.9,3.989900112,,,
SDSS J011859.33+011112.1,4.009500027,,,
SDSS J002417.60+000846.3,4.021900177,,,
